latitude,longitude
56.9148408831298,13.9884584483723
56.9148301732915,13.9882452128663
56.9148311035978,13.9883601627926
56.9148295087224,13.9881631057803
56.9148736222167,13.9880633621368
56.9147365029152,13.9800352566982
56.9147454851027,13.9800350117422
56.9147544672902,13.9800347667861
56.9147634494777,13.9800345218298
56.9167418587034,13.9868958525788
56.9167398621328,13.9866495188443
56.9177380403321,13.9923223926785
56.91288405246,14.0009608717037
56.9128100944391,14.0007000614983
56.9135093968598,14.0005171339481
56.9130046840876,14.0003171063874
56.9149971677181,13.9888976987617
56.9127951485704,14.0010782149545
56.9153675633113,13.9891504891176
56.9128207830085,14.0009132893
56.9132276642262,14.0001140553062
56.9135158277045,14.0013217581912
56.9134255363097,14.0001416143433
56.9149881381474,13.9800448193214
56.9149791559602,13.9800450642773
56.914970173773,13.9800453092331
56.9149611915857,13.9800455541887
56.9124237446422,13.9828739748107
56.9126330352895,13.9820963527231
56.9124324596159,13.9828408898826
56.9126418837719,13.982079687856
56.9126417500558,13.9820632674304
56.9126505985337,13.9820466025516
56.9128787850819,13.9813834255573
56.9152126928227,13.9800386953772
56.9151857462621,13.9800394302552
56.9152037106359,13.9800389403367
56.9151767640752,13.9800396752143
56.9134115591749,13.980613393483
56.9129935462488,13.9811339369089
56.913002394601,13.981117271654
56.9121618908812,13.9838172548507
56.9124061810657,13.9829237242945
56.9117511990243,13.9852408476478
56.9120043482529,13.9843306720608
56.9114456146906,13.9863330908475
56.9117424834105,13.9852739314197
56.9120220458185,13.9842973439326
56.9117510657248,13.9852244275971
56.9120131970369,13.9843140080007
56.9124150296597,13.9829070597235
56.9124148960526,13.9828906393934
56.9148172086142,13.980016630719
56.9152393714047,13.9800051173871
56.9159579462979,13.9799855195016
56.9176849374037,13.9802340881717
56.9176940535515,13.9802502658702
56.915544765745,13.9799967883973
56.9159489641123,13.9799857644808
56.9139921870622,13.9802033766222
56.913429255735,13.9805800623458
56.9134204074561,13.9805967279183
56.9148082264268,13.9800168756801
56.9140101514403,13.9802028868047
56.9140011692513,13.9802031317135
56.9171801933948,13.9800343130367
56.9176759552199,13.9802343331073
56.9171891755788,13.9800340680576
56.917666973036,13.9802345780428
56.917671549536,13.9874291595319
56.9172091994557,13.9869160442912
56.9172088001863,13.9868667769258
56.9169574092297,13.9846725097266
56.9169866229872,13.9849509580262
56.9168802147046,13.9840175686657
56.9169868896716,13.9849838027218
56.9174964239389,13.9857748563798
56.9169867563305,13.9849673803739
56.9169864896417,13.9849345356787
56.9156989218859,13.9879096284539
56.9156399011737,13.9883875613477
56.9156361793817,13.9879277517377
56.9157655192119,13.9883677380845
56.9157207410581,13.9883853747145
56.9156668478019,13.9883868324712
56.9150903306222,13.9870884160838
56.9149742272087,13.9871736858983
56.9150455526483,13.9871060539158
56.9151810840637,13.9872009343826
56.914911351759,13.9871753886024
56.9150824128323,13.9872200315294
56.9151271908225,13.9872023938159
56.9149657771818,13.9872396150289
56.9149208661454,13.9872408311673
56.9170725895933,13.9889072908443
